time_start,time_end,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot,motion,movement
1750874743.0031257,7502.244213579,2.2460083961486816,-44.95780944824219,70.52339935302734,1.404433012008667,-45.748722076416016,75.20976257324219,-0.9497680068016052,-48.25510025024414,79.60614013671875,1.1815229654312134,-43.94737243652344,73.08097076416016,Stop,Stepping
1750874743.0131109,7502.249231503,2.138997793197632,-44.858642578125,70.35330200195312,1.3965905904769897,-45.63121032714844,74.9038314819336,-0.9568435549736023,-48.06965637207031,79.18257904052734,1.1809027194976807,-43.88269805908203,72.83463287353516,Stop,Stepping
1750874743.023156,7502.261393364,2.0334312915802,-44.76020431518555,70.18434143066406,1.388870120048523,-45.51433181762695,74.60031127929688,-0.9637969136238098,-47.88524627685547,78.76203155517578,1.180293321609497,-43.81814193725586,72.59027099609375,Stop,Stepping
1750874743.0331197,7502.269122421,1.9302955865859985,-44.663448333740234,70.01815795898438,1.3813433647155762,-45.399234771728516,74.30211639404297,-0.9705636501312256,-47.70364761352539,78.34854888916016,1.1796965599060059,-43.75433349609375,72.3502197265625,Stop,Stepping
1750874743.0431948,7502.278815607,1.8287092447280884,-44.56758117675781,69.85340881347656,1.3739418983459473,-45.28498077392578,74.00678253173828,-0.977201521396637,-47.523380279541016,77.93870544433594,1.1791092157363892,-43.6907844543457,72.11251068115234,Stop,Stepping
1750874743.0531566,7502.294227006,1.7289291620254517,-44.472869873046875,69.69053649902344,1.366687297821045,-45.1718864440918,73.71511840820312,-0.983696460723877,-47.34494400024414,77.53361511230469,1.1785337924957275,-43.62767791748047,71.87779998779297,Stop,Stepping
1750874743.063122,7502.299641205,1.6314516067504883,-44.379798889160156,69.53038787841797,1.3596137762069702,-45.06057357788086,73.42866516113281,-0.9900214076042175,-47.16928482055664,77.13540649414062,1.1779714822769165,-43.56535720825195,71.64729309082031,Stop,Stepping
1750874743.0731304,7502.310221597,1.5355257987976074,-44.28770446777344,69.371826171875,1.3526643514633179,-44.950191497802734,73.1452407836914,-0.996221125125885,-46.995121002197266,76.74112701416016,1.1774190664291382,-43.50337600708008,71.41928100585938,Stop,Stepping
1750874743.083145,7502.320404742,1.4415256977081299,-44.19694519042969,69.2154769897461,1.3458665609359741,-44.84123611450195,72.86604309082031,-1.002273678779602,-46.82316589355469,76.35240173339844,1.1768773794174194,-43.4420051574707,71.19470977783203,Stop,Stepping
1750874743.0931463,7502.330296983,1.3493626117706299,-44.10747146606445,69.06124114990234,1.3392120599746704,-44.73362350463867,72.59087371826172,-1.0081905126571655,-46.6533317565918,75.96895599365234,1.1763473749160767,-43.3812141418457,70.9734115600586,Stop,Stepping
1750874743.1031232,7502.342083377,1.2592984437942505,-44.01955795288086,68.90961456298828,1.3327200412750244,-44.62771224975586,72.32059478759766,-1.013952374458313,-46.48615264892578,75.59199523925781,1.1758283376693726,-43.32122802734375,70.75609588623047,Stop,Stepping
1750874743.1131234,7502.350727813,1.1709072589874268,-43.93282699584961,68.75994110107422,1.3263614177703857,-44.52303695678711,72.0539779663086,-1.0195866823196411,-46.32089614868164,75.21985626220703,1.1753209829330444,-43.261775970458984,70.5417709350586,Stop,Stepping
1750874743.1231275,7502.360043208,1.0844184160232544,-43.847511291503906,68.61264038085938,1.320147156715393,-44.41991424560547,71.79181671142578,-1.0250847339630127,-46.15804672241211,74.85359191894531,1.1748243570327759,-43.20305252075195,70.3310546875,Stop,Stepping
1750874743.133143,7502.370615726,0.9995540380477905,-43.76337814331055,68.46730041503906,1.3140608072280884,-44.318031311035156,71.53329467773438,-1.0304601192474365,-45.99713897705078,74.49210357666016,1.174338936805725,-43.144874572753906,70.12329864501953,Stop,Stepping
1750874743.1431236,7502.379908857,0.9170012474060059,-43.68113327026367,68.32514953613281,1.3081481456756592,-44.218257904052734,71.28058624267578,-1.035672664642334,-45.839534759521484,74.13845825195312,1.1738651990890503,-43.0877799987793,69.92027282714844,Stop,Stepping
1750874743.1531332,7502.395167962,0.8358872532844543,-43.59991455078125,68.1846923828125,1.3023486137390137,-44.11957931518555,71.03108978271484,-1.040780782699585,-45.683624267578125,73.78900909423828,1.1734000444412231,-43.03116989135742,69.71986389160156,Stop,Stepping
1750874743.1631145,7502.399887429,0.7569714784622192,-43.5205192565918,68.04731750488281,1.2967127561569214,-44.022953033447266,70.7872085571289,-1.0457379817962646,-45.53092575073242,73.44713592529297,1.172950267791748,-42.975624084472656,69.5240249633789,Stop,Stepping
1750874743.1731534,7502.413446215,0.6794996857643127,-43.44221496582031,67.91177368164062,1.29118812084198,-43.9275016784668,70.54668426513672,-1.0505889654159546,-45.38003921508789,73.10968780517578,1.17250657081604,-42.920616149902344,69.33090209960938,Stop,Stepping
1750874743.1831112,7502.420083787,0.6042616963386536,-43.365806579589844,67.77944946289062,1.2858316898345947,-43.834224700927734,70.31202697753906,-1.0552852153778076,-45.23255157470703,72.7801742553711,1.1720759868621826,-42.866756439208984,69.14254760742188,Stop,Stepping
1750874743.1931217,7502.428592689,0.5306446552276611,-43.29071807861328,67.64933776855469,1.2805943489074707,-43.74241638183594,70.0814208984375,-1.059869408607483,-45.08732604980469,72.45603942871094,1.1716543436050415,-42.81363296508789,68.95747375488281,Stop,Stepping
1750874743.2031393,7502.447415435,0.4587693214416504,-43.21707534790039,67.52168273925781,1.2754894495010376,-43.65223693847656,69.85526275634766,-1.0643327236175537,-44.94465255737305,72.13792419433594,1.1712466478347778,-42.76133728027344,68.7760009765625,Stop,Stepping
1750874743.2131364,7502.451791418,0.38883569836616516,-43.14510726928711,67.39688110351562,1.2705289125442505,-43.56398010253906,69.6342544555664,-1.068665623664856,-44.80497741699219,71.8268051147461,1.1708476543426514,-42.71006393432617,68.59872436523438,Stop,Stepping
