timestamp,mocap_gx,mocap_gy,mocap_gz,kalman_offset_gx,kalman_offset_gy,kalman_offset_gz,madgwick_offset_gx,madgwick_offset_gy,madgwick_offset_gz
59.450028,-0.198061,-0.064503,-9.807788,-0.155474,0.136263,-9.807821,-0.077872,0.154783,-9.808470
59.452301,-0.198061,-0.064503,-9.807788,-0.155434,0.136240,-9.807822,-0.075528,0.155590,-9.808475
59.454574,-0.198061,-0.064503,-9.807788,-0.155394,0.136217,-9.807823,-0.085266,0.151806,-9.808455
59.456847,-0.197734,-0.065274,-9.807790,-0.155354,0.136193,-9.807824,-0.083061,0.153011,-9.808455
59.459120,-0.197734,-0.065274,-9.807790,-0.155315,0.136171,-9.807825,-0.080756,0.153941,-9.808460
59.461393,-0.197734,-0.065274,-9.807790,-0.155253,0.136177,-9.807826,-0.078517,0.155111,-9.808459
59.463666,-0.198240,-0.064380,-9.807785,-0.155191,0.136183,-9.807827,-0.076140,0.155859,-9.808466
59.465939,-0.198240,-0.064380,-9.807785,-0.155130,0.136190,-9.807828,-0.073719,0.156451,-9.808475
59.468212,-0.198240,-0.064380,-9.807785,-0.155137,0.136158,-9.807828,-0.083363,0.152585,-9.808459
59.470485,-0.197739,-0.064794,-9.807793,-0.155144,0.136127,-9.807829,-0.080853,0.152924,-9.808475
59.472758,-0.197739,-0.064794,-9.807793,-0.155150,0.136096,-9.807829,-0.079222,0.155379,-9.808449
59.475031,-0.197739,-0.064794,-9.807793,-0.155157,0.136065,-9.807829,-0.086067,0.148609,-9.808497
59.477304,-0.197739,-0.064794,-9.807793,-0.155163,0.136035,-9.807829,-0.084852,0.151638,-9.808461
59.479577,-0.197739,-0.064794,-9.807793,-0.155200,0.136102,-9.807828,-0.086423,0.156677,-9.808368
59.481850,-0.197964,-0.064117,-9.807793,-0.155236,0.136169,-9.807826,-0.085280,0.159740,-9.808329
59.484123,-0.197964,-0.064117,-9.807793,-0.155271,0.136235,-9.807825,-0.082917,0.160393,-9.808338
59.486396,-0.197964,-0.064117,-9.807793,-0.155240,0.136290,-9.807825,-0.080324,0.159681,-9.808371
