timestamp,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,gravity_x,gravity_y,gravity_z
1785345168.782280,-0.000043,0.000529,-0.000102,-0.002134,-0.001518,0.000928,0.859095,0.626092,-9.752234
1785345168.782393,-0.000215,-0.000330,0.000943,0.008002,0.007038,-0.000574,0.859721,0.625273,-9.752231
1785345168.793061,0.000121,0.000040,-0.000239,-0.004595,-0.001693,0.001146,0.859595,0.625719,-9.752214
1785345168.820343,-0.002199,0.000288,-0.001860,-0.014231,-0.003257,0.005684,0.859408,0.627069,-9.752143
1785345168.820507,0.002451,0.000736,0.001127,0.012115,0.001770,-0.005250,0.859467,0.625931,-9.752211
1785345168.820806,-0.001532,-0.000323,0.000456,-0.003416,-0.004273,0.001731,0.859085,0.626276,-9.752223
1785345168.821501,0.001233,0.000071,-0.000474,0.003932,0.002868,-0.000627,0.859333,0.625881,-9.752226
1785345168.832963,-0.000512,0.000400,-0.000397,0.003644,0.001429,0.000678,0.859451,0.625512,-9.752240
1785345168.841816,0.000431,0.000330,0.001336,-0.004013,-0.002392,0.003251,0.859264,0.625888,-9.752232
1785345168.857361,-0.000327,0.000387,0.000014,0.001560,0.002540,0.000019,0.859500,0.625719,-9.752222
1785345168.857492,-0.000246,-0.000044,-0.000810,0.004790,-0.001925,-0.000972,0.859274,0.625277,-9.752270
1785345168.877754,-0.000031,0.000392,-0.000589,0.001525,0.005123,0.000926,0.859768,0.625085,-9.752239
1785345168.877952,0.000071,0.000235,0.001274,-0.004720,-0.004992,0.001688,0.859324,0.625562,-9.752248
1785345168.890955,0.000146,0.000171,-0.000144,-0.002744,0.001017,-0.001210,0.859435,0.625832,-9.752221
1785345168.897230,-0.001136,-0.001083,-0.000248,0.001154,-0.000558,0.002038,0.859384,0.625705,-9.752233
1785345168.897366,0.000393,0.002162,-0.001313,-0.005637,0.002113,0.002672,0.859644,0.626213,-9.752178
1785345168.911179,0.000466,0.000088,0.000472,-0.010225,-0.004507,-0.001984,0.859265,0.627252,-9.752144
1785345168.919738,-0.002237,0.001017,0.004023,0.043768,-0.010082,0.020487,0.858096,0.622899,-9.752526
1785345168.924754,0.002343,-0.002046,-0.004164,-0.026733,0.010710,-0.021780,0.859201,0.625609,-9.752255
1785345168.933404,-0.000113,0.001064,-0.000122,0.001547,0.004547,0.006573,0.859670,0.625369,-9.752230
1785345168.942386,-0.001045,0.006601,0.013539,0.088463,-0.044458,0.043851,0.854978,0.616714,-9.753193
1785345168.950167,-0.001391,-0.005296,-0.008986,-0.060196,0.030547,-0.025585,0.858223,0.622564,-9.752536
1785345168.963186,0.000025,0.000245,-0.000768,0.000386,-0.002328,-0.001250,0.857986,0.622554,-9.752558
1785345168.965050,-0.000139,0.000495,-0.000083,-0.001331,0.000426,0.003540,0.858057,0.622648,-9.752546
1785345168.980108,0.003030,-0.001967,-0.002629,-0.030994,0.012114,-0.022070,0.859326,0.625765,-9.752235
1785345168.986423,-0.001214,0.000299,-0.001683,-0.007586,0.003036,0.003100,0.859691,0.626450,-9.752158
1785345169.003871,0.000510,-0.000811,0.001486,0.012959,-0.004161,-0.002961,0.859180,0.625251,-9.752280
1785345169.004077,0.000392,0.000616,0.001429,-0.011881,-0.005454,0.004969,0.858759,0.626395,-9.752244
1785345169.011407,0.000114,0.000310,0.000234,-0.000522,-0.000523,-0.002842,0.858696,0.626474,-9.752244
1785345169.025255,0.000071,-0.000329,-0.001316,0.007091,0.005918,-0.000471,0.859220,0.625751,-9.752245
1785345169.025423,-0.007889,0.006307,-0.009987,0.145821,0.063133,-0.001350,0.864346,0.611200,-9.752715
1785345169.036063,0.007381,-0.004989,0.008916,-0.158929,-0.062109,0.006016,0.859434,0.626970,-9.752148
1785345169.046176,-0.000287,-0.000492,-0.000441,0.006310,0.005673,-0.000655,0.859939,0.626326,-9.752144
1785345169.052098,-0.000229,0.000188,0.000394,-0.006222,-0.012565,0.003126,0.858777,0.626987,-9.752204
1785345169.061347,0.000732,-0.000259,0.000318,0.010303,0.002381,-0.003213,0.858919,0.626002,-9.752255
1785345169.065052,-0.000408,0.000654,-0.000006,-0.011750,0.001980,0.001181,0.859200,0.627115,-9.752159
1785345169.078856,-0.001807,0.001495,0.005207,0.041399,-0.013574,0.021307,0.857713,0.623008,-9.752553
