time_start,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot
1751050436.8196175,-0.0,0.0,-0.41666677594184875,-0.0,-0.0,-0.0,0.0,-0.208333358168602,0.0,1.0416667461395264,-0.0,-1.666666865348816
1751050436.8296149,-0.0,0.0,1.0416667461395264,-0.0,-0.208333358168602,-0.0,0.0,0.0,0.20833343267440796,0.0,-0.0,1.4583334922790527
1751050436.839609,-0.0,0.0,-0.6250000596046448,-0.0,-0.0,-0.0,0.0,0.0,-1.0416667461395264,-0.20833343267440796,-0.0,-0.0
1751050436.8496315,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.666666865348816,0.833333432674408,-0.0,-0.6250001192092896
1751050436.859627,-0.0,-0.41666677594184875,0.6250000596046448,-0.0,-0.0,-0.0,0.0,0.0,-0.208333358168602,-0.833333432674408,-0.0,1.4583334922790527
1751050436.8696144,-0.0,0.0,-0.6250000596046448,-0.0,-0.0,-0.0,0.0,0.0,-0.20833343267440796,0.833333432674408,-0.0,-0.6250000596046448
1751050436.8796098,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.8333335518836975,-0.208333358168602,-0.0,-0.20833353698253632
1751050436.889612,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.041666865348816,0.0,-0.0,0.833333432674408
1751050436.899642,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.875000238418579,0.20833338797092438,-0.0,-0.208333358168602
1751050436.90961,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.833333432674408,-0.0,-0.0
1751050436.9196088,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.20833343267440796,0.208333358168602,-0.0,0.6250001192092896
1751050436.9296472,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.6250001192092896,0.0,-0.0,-1.666666865348816
1751050436.9396045,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.666666865348816,0.0,-0.0,1.2500001192092896
1751050436.9496157,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.2500001192092896,0.41666677594184875,-0.0,0.20833343267440796
1751050436.959617,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.6250000596046448,-0.0,-0.4166668653488159
1751050436.9696128,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.41666677594184875,0.0,-0.0,0.833333432674408
1751050436.979616,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0416667461395264,0.0,-0.0,-0.0
1751050436.9896154,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.2500001192092896,-0.20833343267440796,-0.0,-0.20833343267440796
1751050436.9996111,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.20833343267440796,-0.0,0.833333432674408
1751050437.009627,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.41666677594184875,-0.6250000596046448,-0.0,-1.666666865348816
1751050437.0196166,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.8333335518836975,0.0,-0.0,-0.0
1751050437.0296104,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.041666865348816,0.0,-0.0,0.20833343267440796
1751050437.0396147,-0.0,0.416666716337204,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.6250000596046448,-0.20833338797092438,-0.0,-1.0416667461395264
1751050437.049625,-0.0,0.20833338797092438,0.0,-0.0,0.416666716337204,-0.0,0.0,0.0,-0.20833343267440796,0.0,-0.0,-0.0
1751050437.0596328,-0.0,0.416666716337204,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.6250002384185791,0.0,-0.0,0.20833343267440796
1751050437.069623,-0.0,1.666666865348816,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.2500001192092896,-0.20833338797092438,-0.0,-1.0416667461395264
1751050437.0796027,-0.0,2.2916669845581055,0.0,-0.0,-0.0,-0.0,0.0,0.0,1.2500001192092896,0.20833343267440796,-0.0,-0.0
1751050437.0896337,-0.0,3.125000238418579,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.833333432674408,-0.0,0.20833343267440796
1751050437.0996,-0.0,3.125000238418579,0.0,-0.0,0.208333358168602,-0.0,0.0,0.0,-0.20833343267440796,1.0416667461395264,-0.0,-0.833333432674408
1751050437.1096044,-0.0,3.958333730697632,0.0,-0.0,-0.0,-0.0,0.0,-0.20833338797092438,1.2500001192092896,-0.6250000596046448,-0.0,1.4583334922790527
1751050437.1196334,-0.0,3.333333730697632,0.0,-0.0,-0.0,-0.0,0.0,0.20833338797092438,-1.4583334922790527,0.0,-0.0,-0.208333358168602
1751050437.1295996,-0.0,5.000000476837158,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.20833343267440796,-0.0,-0.0
1751050437.139606,-0.0,3.750000476837158,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.20833343267440796,-0.6250000596046448,-0.0,0.6250001192092896
1751050437.14962,-0.0,6.0416669845581055,0.20833338797092438,-0.0,-0.0,-0.0,0.0,0.0,-0.833333432674408,0.6250000596046448,-0.0,-0.6250000596046448
1751050437.1596165,-0.0,2.9166669845581055,-1.0416667461395264,-0.0,-0.0,-0.0,0.0,0.0,1.4583334922790527,0.20833343267440796,-0.0,-0.0
1751050437.1696165,-0.0,4.375000476837158,1.2500001192092896,-0.0,-0.0,-0.0,0.0,0.0,-1.2500001192092896,0.0,-0.0,0.20833343267440796
1751050437.1796205,-0.0,2.2916669845581055,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.41666677594184875,-0.0,-1.2500001192092896
1751050437.1896167,-0.0,3.750000476837158,-0.20833343267440796,-0.0,-0.6250000596046448,-0.0,0.0,0.0,0.20833353698253632,-1.0416667461395264,-0.0,0.6250000596046448
1751050437.1996205,-0.0,1.4583337306976318,0.6250000596046448,-0.0,-0.0,-0.208333358168602,0.0,0.416666716337204,-1.0416667461395264,1.2500001192092896,-0.0,-0.0
1751050437.2096124,-0.0,2.500000476837158,0.0,-0.0,-0.0,-0.0,0.0,-0.20833343267440796,0.833333432674408,0.0,-0.0,-0.6250001192092896
1751050437.2196121,-0.0,1.041667103767395,0.0,-0.6250000596046448,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.2500001192092896
1751050437.229609,-0.0,0.41666707396507263,0.833333432674408,-0.0,-0.0,-0.0,0.0,0.0,-0.20833353698253632,0.20833338797092438,-0.0,-0.0
1751050437.2396011,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.4166668653488159,-0.6250000596046448,-0.0,-0.20833343267440796
1751050437.2496202,-0.0,0.41666677594184875,-0.416666716337204,-0.0,-0.0,-0.0,0.0,0.0,-1.2500001192092896,0.0,-0.0,1.2500001192092896
1751050437.2596061,-0.0,0.0,1.0416667461395264,0.416666716337204,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-1.0416667461395264
1751050437.2696111,-0.0,0.0,-0.833333432674408,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.6250000596046448,-0.0,-0.0
